term,label,coef,std_err,p_value,odds_ratio,or_ci_low,or_ci_high,marginal_effect_pp,ame_ci_low_pp,ame_ci_high_pp
status_Helpful,Helpful (vs NMR),0.09914932136567027,0.015755814019222814,3.116452533544221e-10,1.1042311725557468,1.0706527330204734,1.1388627188238103,1.7857563975654502,1.229712618692971,2.3418001764379293
status_Not Helpful,Not Helpful (vs NMR),-1.0273561084539096,0.02431562509361392,0.0,0.35795209712280884,0.3412930256639531,0.3754243251392338,-18.503482605628058,-19.355776185411905,-17.65118902584421
not_misleading,First note says post is not misleading,0.13582905246414145,0.032331851075895236,2.656316436100121e-05,1.1454860588374856,1.0751495721684556,1.2204239716568925,2.4463868846719383,1.3051886942014541,3.5875850751424228
has_url,First note contains a URL,0.05399642459057419,0.023117681876115664,0.019505855945635767,1.055480828372231,1.0087244387050947,1.104404469957554,0.9725176060727342,0.15648306595927863,1.7885521461861897
note_len_100,"First note length, per 100 characters",0.06826275057238815,0.004128692499395639,2.09698860210313e-61,1.0706465845273447,1.0620177771267079,1.0793455002809311,1.2294652335590022,1.083976837732554,1.3749536293854505
tag_misleadingFactualError,tag: misleadingFactualError,-0.04028952415235029,0.0120403032866438,0.0008192086738266297,0.9605113076691993,0.9381099822749464,0.983447559019791,-0.7256456677558096,-1.1506450084999436,-0.3006463270116756
tag_misleadingManipulatedMedia,tag: misleadingManipulatedMedia,-0.05455812207103853,0.020370744579928254,0.00740060541209107,0.9469034712675675,0.909842248508554,0.9854743340049891,-0.9826342145922691,-1.7017011255352215,-0.2635673036493167
tag_misleadingMissingImportantContext,tag: misleadingMissingImportantContext,0.05296323876114913,0.012104028165927365,1.2105978066963352e-05,1.0543908836917837,1.0296714589727425,1.0797037500888624,0.9539091256579859,0.5266808161575787,1.3811374351583934
tag_misleadingOther,tag: misleadingOther,0.013335396349519739,0.018942153948026827,0.48142882938882514,1.013424709313765,0.9764902208771954,1.0517561973381497,0.24018086071813807,-0.4284841398357824,0.9088458612720585
tag_misleadingOutdatedInformation,tag: misleadingOutdatedInformation,-0.02704380206982289,0.014757759867235843,0.06687487279734781,0.9733186072210148,0.9455689398462411,1.0018826457187822,-0.4870799103361392,-1.00802476806458,0.033864947392301795
tag_misleadingSatire,tag: misleadingSatire,0.004658650393882011,0.01908101611404461,0.8071138252477746,1.0046695187764056,0.9677906807549502,1.0429536696623656,0.08390591715916756,-0.5896629133160882,0.7574747476344232
tag_misleadingUnverifiedClaimAsFact,tag: misleadingUnverifiedClaimAsFact,0.01926101320792282,0.01251866908064907,0.12390609669367625,1.0194477032093405,0.9947387617267172,1.04477040562366,0.34690582936809816,-0.09500302314774003,0.7888146818839363
tag_notMisleadingClearlySatire,tag: notMisleadingClearlySatire,0.0198290688805696,0.029487671732458406,0.5012954474547516,1.020026970772651,0.9627459570208603,1.0807160637923996,0.35713695387434363,-0.6837888552777742,1.3980627630264615
tag_notMisleadingFactuallyCorrect,tag: notMisleadingFactuallyCorrect,-0.08807810142716072,0.026982739634946098,0.0010975867431907728,0.915689357284837,0.8685211864344698,0.9654191655208194,-1.586355115118629,-2.538794620959791,-0.633915609277467
tag_notMisleadingOther,tag: notMisleadingOther,0.05570218005315811,0.028630649247015808,0.05170957222189129,1.057282756948728,0.9995872238905174,1.1183084391478162,1.0032395887150358,-0.007412316394012422,2.013891493824084
tag_notMisleadingOutdatedButNotWhenWritten,tag: notMisleadingOutdatedButNotWhenWritten,-0.07940020458763608,0.06062740216797637,0.19031690408597457,0.9236701934171265,0.82018305214553,1.0402148934624043,-1.4300594432456781,-3.570214082284002,0.7100951957926457
tag_notMisleadingPersonalOpinion,tag: notMisleadingPersonalOpinion,0.14575500228293592,0.024894736704758457,4.774346071300583e-09,1.1569127123533958,1.1018187405439375,1.214761534500799,2.6251609614550904,1.7465570170808589,3.503764905829322
tag_trustworthySources,tag: trustworthySources,-0.02384591455009416,0.02061878946884669,0.2474710584189359,0.9764361527709761,0.9377630261002968,1.016704150091126,-0.42948346874287036,-1.1573311536868105,0.2983642162010699
cohort_2023-02,cohort_2023-02,-0.036277018768101986,0.1996336025466351,0.8558040400687086,0.9643731070269009,0.6521036939740421,1.4261773060800036,-0.6533773248010403,-7.700536528256663,6.3937818786545835
cohort_2023-03,cohort_2023-03,-0.3438834914529016,0.16630176567665728,0.03865617489725947,0.709011529140687,0.5117961065023898,0.9822219084272535,-6.19360915859767,-12.063923771320043,-0.3232945458752967
cohort_2023-04,cohort_2023-04,-0.1674151583175096,0.1602741493654585,0.2962287034822134,0.8458483774441491,0.6178270477346248,1.1580255028462445,-3.0152772192190644,-8.672972294972183,2.642417856534053
cohort_2023-05,cohort_2023-05,-0.3819338662807527,0.1587156734445111,0.016110483513970326,0.682540190634163,0.5000681599183175,0.9315952287524455,-6.878926005376789,-12.48138393965522,-1.2764680710983565
cohort_2023-06,cohort_2023-06,-0.39970092383134714,0.15817881684635146,0.011507660078581599,0.6705205527686771,0.4917790700436173,0.9142272192375656,-7.198924531336076,-12.782406417935855,-1.6154426447362986
cohort_2023-07,cohort_2023-07,-0.4299495241065968,0.15511506071484554,0.005574551154007374,0.6505419305797422,0.479999864886145,0.8816769220191373,-7.743725350090267,-13.21900047428578,-2.2684502258947545
